resource,consumer
Lithodes santolla,Genypterus blacodes
Detritus,Halicarcinus planatus
Gammaridae,Harpagifer bispinis
Isopoda,Harpagifer bispinis
Tanaidae,Harpagifer bispinis
Polychaeta,Harpagifer bispinis
Exosphaeroma gigas,Harpagifer bispinis
Themisto gaudichaudii,Illex argentinus
Copepoda,Illex argentinus
Euphausia lucens,Illex argentinus
Doryteuthis gahi,Illex argentinus
Detritus,Isopoda
Phytodetritus,Isopoda
Macroalgae,Isopoda
Exosphaeroma gigas,Labidiaster radiosus
Enteroctopus megalocyathus,Lagenorhynchus australis
Macruronus magellanicus,Lagenorhynchus australis
Genypterus blacodes,Lagenorhynchus australis
Myxine australis,Lagenorhynchus australis
Salilota australis,Lagenorhynchus australis
Salp,Lagenorhynchus australis
Eleginops maclovinus,Lagenorhynchus australis
Illex argentinus,Lagenorhynchus australis
Patagonotothen tessellata,Lagenorhynchus australis
Zoarcids,Lagenorhynchus australis
Gaimardia trapesina,Larus dominicanus
Mytilus chilensis,Larus dominicanus
Darina solenoides,Larus dominicanus
Macrocystis pyrifera,Lithodes santolla
Hydrozoans,Lithodes santolla
Bryozoans,Lithodes santolla
Porifera,Lithodes santolla
Foraminifera,Lithodes santolla
Polychaeta,Lithodes santolla
Echinoderms,Lithodes santolla
Crustaceans,Lithodes santolla
Bivalvia,Lithodes santolla
Gastropods,Lithodes santolla
Cephalopoda,Lithodes santolla
Fish,Lithodes santolla
Sediment,Lithodes santolla
Detritus,Lithodes santolla
Debris allocthonous,Lithodes santolla
Sarcopeltis skottsbergii,Lithodes santolla
Amphipoda,Lithodes santolla (juvenile)
Bivalvia,Lithodes santolla (juvenile)
Macrocystis pyrifera,Lithodes santolla (juvenile)
Sediment,Lithodes santolla (juvenile)
Hydrozoans,Lithodes santolla (juvenile)
Echinoderms,Lithodes santolla (juvenile)
Porifera,Lithodes santolla (juvenile)
Foraminifera,Lithodes santolla (juvenile)
Polychaeta,Lithodes santolla (juvenile)
Nacella spp.,Lithodes santolla (juvenile)
Polyplacophora,Lithodes santolla (juvenile)
Ulva sp.,Lithodes santolla (juvenile)
Lithodes santolla,Lithodes santolla (juvenile)
Prolatilus jugularis,Lontra felina
Patagonotothen sp.,Lontra felina
Cottoperca gobio,Lontra felina
Harpagifer bispinis,Lontra felina
Acanthocyclus albatrossis,Lontra felina
Lithodes santolla,Lontra felina
Munida gregaria,Lontra felina
Campylonotus vagans,Lontra felina
Taliepus dentatus,Lontra felina
Cancer edwardsii,Lontra felina
Macrocystis pyrifera,Loxechinus albus
Rhodymenia falklandica,Loxechinus albus
Lessonia flavicans,Loxechinus albus
Sarcopeltis skottsbergii,Loxechinus albus
Callophyllis variegata,Loxechinus albus
Harpagifer bispinis,Loxechinus albus
Sprattus fuegensis,Macruronus magellanicus
Munida gregaria,Macruronus magellanicus
Macrocystis pyrifera,Margarella violacea
Copepod egg,Maurolicus australis (larvae)
Bivalvia larva,Maurolicus australis (larvae)
Copepod nauplius,Maurolicus australis (larvae)
Calanoid copepodite,Maurolicus australis (larvae)
Munida gregaria,Megaptera novaeangliae
Sprattus fuegensis,Megaptera novaeangliae
Euphausia lucens,Megaptera novaeangliae
Euphausia vallentini,Megaptera novaeangliae
Themisto gaudichaudii,Megaptera novaeangliae
Sprattus fuegensis,Merluccius australis
Munida gregaria,Merluccius sp.
Myctophidae,Merluccius sp.
Macruronus magellanicus,Merluccius sp.
Doryteuthis gahi,Merluccius sp.
Pseudechinus magellanicus,Merluccius sp.
Bryozoans,Merluccius sp.
Ulva sp.,Munida gregaria
Serolis sp.,Munida gregaria
Porifera,Munida gregaria
Phytodetritus,Munida gregaria
Detritus,Munida gregaria
Copepoda,Myctophidae
Phytoplankton,Mytilus chilensis
Zooplankton,Mytilus chilensis
Bivalvia,Nacella deaurata
Foraminifera,Nacella deaurata
Elphidium macellum,Nacella deaurata
Brown algae,Nacella deaurata
Green algae,Nacella deaurata
Miscellaneus,Nacella deaurata
Rhodophyta,Nacella deaurata
Chroococcus sp.,Nacella deaurata
Oscillatoria sp.,Nacella deaurata
Melosira sp.,Nacella deaurata
Coscinodiscus sp.,Nacella deaurata
Stephanopyxis sp.,Nacella deaurata
Biddulphia sp.,Nacella deaurata
Pinnularia sp.,Nacella deaurata
Navicula sp.,Nacella deaurata
Gyrosigma sp.,Nacella deaurata
Diploneis sp.,Nacella deaurata
Plagiotropis sp.,Nacella deaurata
Cocconeis sp.,Nacella deaurata
Surirella sp.,Nacella deaurata
Gomphonema sp.,Nacella deaurata
Cymbella sp.,Nacella deaurata
Licmophora sp.,Nacella deaurata
Amphora sp.,Nacella deaurata
Cylindrotheca sp.,Nacella deaurata
Nitzschia sp.,Nacella deaurata
Achnanthes sp.,Nacella deaurata
Rhabdonema sp.,Nacella deaurata
Grammatophora sp.,Nacella deaurata
Fragilaria sp.,Nacella deaurata
Dinophysis sp.,Nacella deaurata
Protoperidinium sp.,Nacella deaurata
Prorocentrum sp.,Nacella deaurata
Spongomorpha pacifica,Nacella deaurata
Ulothrix sp.,Nacella deaurata
Ulva clathrata,Nacella deaurata
Ulva lactuca,Nacella deaurata
Ulva prolifera,Nacella deaurata
Ulva sp.,Nacella deaurata
Rhizoclonium sp.,Nacella deaurata
Ectocarpus siliculosus,Nacella deaurata
Caepidium antarcticum,Nacella deaurata
Adenocystis utricularis,Nacella deaurata
Scytosiphon lomentaria,Nacella deaurata
Halopteris funnicularis,Nacella deaurata
Acrochaetium sp.,Nacella deaurata
Nothogenia fastigiata,Nacella deaurata
Iridaea chordata,Nacella deaurata
Sarcothalia crispata,Nacella deaurata
Grateloupia sp.,Nacella deaurata
Ceramium sp.,Nacella deaurata
Polysiphonia sp.,Nacella deaurata
Pterosiphonia sp.,Nacella deaurata
Ballia callitricha,Nacella deaurata
Bostrychia sp.,Nacella deaurata
Plocamium sp.,Nacella deaurata
Margarella violacea,Nacella deaurata
Laevilitorina caliginosa,Nacella deaurata
Eatoniella sp.,Nacella deaurata
Mytilus platensis,Nacella deaurata
Lasaea sp.,Nacella deaurata
Ostracoda,Nacella deaurata
Amphipoda,Nacella deaurata
Elminius kingii,Nacella deaurata
Arachnida indet,Nacella deaurata
Halirytus magellanicus,Nacella deaurata
Bivalvia,Nacella magellanica
Foraminifera,Nacella magellanica
Rhodophyta,Nacella magellanica
Green algae,Nacella magellanica
Miscellaneus,Nacella magellanica
Chroococcus sp.,Nacella magellanica
Oscillatoria sp.,Nacella magellanica
Melosira sp.,Nacella magellanica
Coscinodiscus sp.,Nacella magellanica
Biddulphia sp.,Nacella magellanica
Pinnularia sp.,Nacella magellanica
Navicula sp.,Nacella magellanica
Gyrosigma sp.,Nacella magellanica
Diploneis sp.,Nacella magellanica
Plagiotropis sp.,Nacella magellanica
Cocconeis sp.,Nacella magellanica
Surirella sp.,Nacella magellanica
Gomphonema sp.,Nacella magellanica
Cymbella sp.,Nacella magellanica
Licmophora sp.,Nacella magellanica
Amphora sp.,Nacella magellanica
Cylindrotheca sp.,Nacella magellanica
Nitzschia sp.,Nacella magellanica
Achnanthes sp.,Nacella magellanica
Rhabdonema sp.,Nacella magellanica
Grammatophora sp.,Nacella magellanica
Fragilaria sp.,Nacella magellanica
Dinophysis sp.,Nacella magellanica
Prorocentrum sp.,Nacella magellanica
Spongomorpha pacifica,Nacella magellanica
Ulothrix sp.,Nacella magellanica
Ulva lactuca,Nacella magellanica
Ulva prolifera,Nacella magellanica
Ulva sp.,Nacella magellanica
Rhizoclonium sp.,Nacella magellanica
Ectocarpus siliculosus,Nacella magellanica
Caepidium antarcticum,Nacella magellanica
Adenocystis utricularis,Nacella magellanica
Scytosiphon lomentaria,Nacella magellanica
Halopteris funnicularis,Nacella magellanica
Macrocystis pyrifera,Nacella magellanica
Acrochaetium sp.,Nacella magellanica
Nothogenia fastigiata,Nacella magellanica
Iridaea chordata,Nacella magellanica
Sarcothalia crispata,Nacella magellanica
Mazzaella laminarioides,Nacella magellanica
Grateloupia sp.,Nacella magellanica
Heterosiphonia sp.,Nacella magellanica
Polysiphonia sp.,Nacella magellanica
Pterosiphonia sp.,Nacella magellanica
Ballia callitricha,Nacella magellanica
Bostrychia sp.,Nacella magellanica
Margarella violacea,Nacella magellanica
Laevilitorina caliginosa,Nacella magellanica
Onchidella marginata,Nacella magellanica
Mytilus platensis,Nacella magellanica
Lasaea sp.,Nacella magellanica
Ostracoda,Nacella magellanica
Notochthamalus scabrosus,Nacella magellanica
Elminius kingii,Nacella magellanica
Arachnida indet,Nacella magellanica
Halirytus magellanicus,Nacella magellanica
Phytoplankton,Nacella mytilina
Macrocystis pyrifera,Nacella mytilina
Phytodetritus,Nacella mytilina
Darina solenoides,Odontesthes spp.
Amphipoda,Odontesthes spp.
Munida gregaria,Oncorhynchus tschawytscha
Phytodetritus,Ophiactis asperula
Phytodetritus,Ophiuroglypha lymani
Crustaceans,Ophiuroglypha lymani
Fecal pellets,Ophiuroglypha lymani
Detritus,Ophiuroglypha lymani
Sediment,Ophiuroglypha lymani
Macroalgae,Ophiuroglypha lymani
Bivalvia,Ophiuroglypha lymani
Bryozoans,Ophiuroglypha lymani
Otaria byronia,Orcinus orca
Arctocephalus australis,Orcinus orca
Tachyeres pteneres,Orcinus orca
Fish,Orcinus orca
Phytoplankton,Ostracoda
Zooplankton,Ostracoda
Detritus,Ostracoda
Picoplankton,Ostracoda
Munida gregaria,Otaria byronia
Oncorhynchus mykiss,Otaria byronia
Oncorhynchus kisutch,Otaria byronia
Salmo salar,Otaria byronia
Eleginops maclovinus,Otaria byronia
Mustelus mento,Otaria byronia
Thyrsites atun,Otaria byronia
Paralabrax humeralis,Otaria byronia
Odontesthes regia,Otaria byronia
Sprattus fuegensis,Otaria byronia
Trachurus murphyi,Otaria byronia
Merluccius australis,Otaria byronia
Cilus gilberti,Otaria byronia
Genypterus spp.,Otaria byronia
Callorhinchus callorhynchus,Otaria byronia
Pinguipes chilensis,Otaria byronia
Detritus,Pagurus sp.
Detritus,Paraeuthria fuscata
Macrocystis pyrifera,Paralomis granulosa
Rhodophyta,Paralomis granulosa
Hydrozoans,Paralomis granulosa
Bryozoans,Paralomis granulosa
Porifera,Paralomis granulosa
Foraminifera,Paralomis granulosa
Polychaeta,Paralomis granulosa
Pseudechinus magellanicus,Paralomis granulosa
Enteroctopus megalocyathus,Paralomis granulosa
Mytilus chilensis,Paralomis granulosa
Amphipoda,Paralomis granulosa
Debris allocthonous,Paralomis granulosa
Gaimardia trapesina,Paralomis granulosa
Munida gregaria,Patagonotothen cornucola
Fish,Patagonotothen cornucola
Exosphaeroma gigas,Patagonotothen cornucola
Copepoda,Patagonotothen sima
Munida gregaria,Patagonotothen sima
Amphipoda,Patagonotothen sima
Polychaeta,Patagonotothen sima
Exosphaeroma gigas,Patagonotothen sp.
Munida gregaria,Patagonotothen sp.
Polychaeta,Patagonotothen sp.
Macroalgae,Patagonotothen sp.
Fish,Patagonotothen sp.
Platynereis australis,Patagonotothen tessellata
Gammaridae,Patagonotothen tessellata
Ostracoda,Patagonotothen tessellata
Rhizoclonium sp.,Patagonotothen tessellata
Polysiphonia sp.,Patagonotothen tessellata
Chironomidae,Patagonotothen tessellata
Austroregia sp.,Patagonotothen tessellata
Munida gregaria,Patagonotothen tessellata
Patagonotothen sp.,Patagonotothen tessellata
Bivalvia larva,Patagonotothen tessellata (larvae)
Pluteus larva,Patagonotothen tessellata (larvae)
Copepod egg,Patagonotothen tessellata (larvae)
Copepod nauplius,Patagonotothen tessellata (larvae)
Calanoid copepodite,Patagonotothen tessellata (larvae)
Aetideus arcuatus,Patagonotothen tessellata (larvae)
Calanoides patagoniensis,Patagonotothen tessellata (larvae)
Calanus simillimus,Patagonotothen tessellata (larvae)
Paracalanus indicus,Patagonotothen tessellata (larvae)
Chitinous remains,Patagonotothen tessellata (larvae)
Nacella deaurata,Peltarion spinulosum
Zooplankton,Perumytilus purpuratus
Phytoplankton,Perumytilus purpuratus
Detritus,Platynereis australis
Macroalgae,Platynereis australis
Phytodetritus,Plaxiphora aurata
Diatoms,Plaxiphora aurata
Ostracoda,Pseudechinus magellanicus
Foraminifera,Pseudechinus magellanicus
Macroalgae,Pseudechinus magellanicus
Martialia hyadesii,Pseudorca crassidens
Illex argentinus,Pseudorca crassidens
Macruronus magellanicus,Pseudorca crassidens
Genypterus blacodes,Pseudorca crassidens
Munida gregaria,Salilota australis
Austrolycus depressiceps,Salilota australis
Patagonotothen cornucola,Salilota australis
Merluccius hubbsi,Salilota australis
Patagonotothen sp.,Salilota australis
Odontesthes regia,Salmo salar
Nanoflagellates,Salp
Copepoda,Salp
Picoplankton,Salp
Macroalgae,Siphonaria lessonii
Phytodetritus,Siphonaria lessonii
Macrocystis pyrifera,Siphonaria lessonii
Sprattus fuegensis,Spheniscus magellanicus
Patagonotothen wiltoni,Spheniscus magellanicus
Doryteuthis gahi,Spheniscus magellanicus
Ramnogaster arcuata,Spheniscus magellanicus
Munida gregaria,Spheniscus magellanicus
Cephalopoda,Spheniscus magellanicus
Amphipoda,Sprattus fuegensis
Hyperiidea,Sprattus fuegensis
Mysida,Sprattus fuegensis
Calanoida,Sprattus fuegensis
Harpacticoida,Sprattus fuegensis
Megacalanus sp.,Sprattus fuegensis
Copepoda,Sprattus fuegensis
Isopoda,Sprattus fuegensis
Pseudonitzschia sp.,Sprattus fuegensis
Rhizosolenia sp.,Sprattus fuegensis
Chaetoceros sp.,Sprattus fuegensis
Diatoms,Sprattus fuegensis
Diatoms,Sprattus fuegensis
Asterionellopsis sp.,Sprattus fuegensis
Thalassiosira sp.,Sprattus fuegensis
Ramnogaster arcuata,Stercorarius chilensis
Sprattus fuegensis,Stercorarius chilensis
Phytoplankton,Tanaidae
Zooplankton,Tanaidae
Detritus,Tanaidae
Macrocystis pyrifera,Tegula atra
Mazzaella laminarioides,Tegula atra
Ulva sp.,Tegula atra
Mytilus chilensis,Trophon geversianus
Aulacomya atra,Trophon geversianus
Hiatella arctica,Trophon geversianus
Perumytilus purpuratus,Trophon geversianus
Amphipoda,Zoarcids
Polychaeta,Zoarcids
Phytoplankton,Zooplankton
