resource,consumer,Prey group,Reference,URL/DOI,Observation
Ramnogaster arcuata,Spheniscus magellanicus,Pisces,Venegas & Sielfeld (1981),"VENEGAS, C. & W. SIELFELD. 1981. Utilización de aves como indicadoras de presencia y potencialidad de recursos marinos eventualmente manejables. Resumen. P. 83, in Jornadas de Ciencias del Mar. Valdivia, Chile.",Stomach content (unpublished data)
Munida gregaria,Spheniscus magellanicus,Benthic decapoda,Venegas & Sielfeld (1981),"VENEGAS, C. & W. SIELFELD. 1981. Utilización de aves como indicadoras de presencia y potencialidad de recursos marinos eventualmente manejables. Resumen. P. 83, in Jornadas de Ciencias del Mar. Valdivia, Chile.",Stomach content
Cephalopoda indet,Spheniscus magellanicus,Cephalopoda,Boswall & MacIver (1975),"Boswall, J. and D. MacIver 1975 The Magellanic Penguin Spheniscus magellanicus. In Stonehouse, B. (ed.), The Biology of Penguins. University Park Press, Baltimore, USA 271-305.",Stomach content
Macroalgae,Chloephaga hybrida,Macroalgae,Venegas (1985),"Venegas, C. 1985-1986. Prospección aérea de gansos (Chloephaga) en la estepa central de Magallanes. Anales del Instituto de la Patagonia 16: 67˗73.",Stomach content
Acanthocyclus albatrossis ,Eleginops maclovinus,Benthic decapoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,In situ observation
Platynereis australis,Eleginops maclovinus,Polychaeta,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Halicarcinus planatus,Eleginops maclovinus,Benthic decapoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Cephalopods,Eleginops maclovinus,Cephalopoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Ostracods,Eleginops maclovinus,Ostracoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Amphipoda,Eleginops maclovinus,Amphipoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Enteromorpha sp.,Eleginops maclovinus,Green algae,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Ectocarpus sp.,Eleginops maclovinus,Green algae,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Ulva sp.,Eleginops maclovinus,Green algae,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Rhizoclonium sp.,Eleginops maclovinus,Green algae,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Cladophora sp.,Eleginops maclovinus,Green algae,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Ceramium sp.,Eleginops maclovinus,Red algae,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Oscillatoria sp.,Eleginops maclovinus,Cyanobacteria,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Copepods,Eleginops maclovinus,Copepoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Ostracods,Eleginops maclovinus,Ostracoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Isopoda,Eleginops maclovinus,Isopoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Decapoda,Eleginops maclovinus,Decapoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Acari,Eleginops maclovinus,Arachnida,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Appendicularians,Eleginops maclovinus,Tunicata,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Forams,Eleginops maclovinus,Foraminifera,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Brachiopods,Eleginops maclovinus,Brachiopoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Fishes,Eleginops maclovinus,Pisces,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Sediments,Eleginops maclovinus,Sediment,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Otaria byronia,Orcinus orca,Sea lion,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1443,Stomach content
Arctocephalus australis,Orcinus orca,Sea lion,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1444,In situ observation
Tachyeres pteneres,Orcinus orca,Magellanic flightless steamer duck,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1445,In situ observation
Fishes,Orcinus orca,Pisces,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1446,In situ observation
Forams,Eurypodius latreillei,Foraminifera,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf,In situ observation
Halicarcinus planatus,Eurypodius latreillei,Crustacea,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf,In situ observation (laboratory)
Pagurus sp.,Eurypodius latreillei,Crustacea,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf,In situ observation (laboratory)
Isopoda,Eurypodius latreillei,Isopoda,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf,Field observation
Bryozoans,Eurypodius latreillei,Bryozoa,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf,In situ observation
Perumytilus purpuratus,Acanthina monodon,Bivalvia,Andrade (pers. comm.),,In situ observation
Mytilus chilensis,Acanthina monodon,Bivalvia,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/,Stomach content
Trophon geversianus,Anasterias antarctica,Gastropoda,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/,
Macroalgae,Siphonaria lessonii,Brown algae,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/,
Phytodetritus,Siphonaria lessonii,Phytodetritus,Andrade (pers. comm.),,In situ observation
Macrocystis pyrifera,Siphonaria lessonii,Brown algae,Andrade (pers. comm.),,
Macrocystis pyrifera,Fissurella oriens,Brown algae,Andrade (pers. comm.),,In situ observation
Macroalgae,Fissurella oriens,Macroalgae,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes,In situ observation
Macrocystis pyrifera,Fissurella radiosa,Brown algae,Andrade (pers. comm.),,
Macroalgae,Fissurella radiosa,Macroalgae,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes,In situ observation
Microalgae,Nacella mytilina,Microalgae,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes,In situ observation
Macrocystis pyrifera,Nacella mytilina,Brown algae,Andrade (pers. comm.),,Stomach content
Phytoplankton,Mytilus chilensis,Plankton,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes,Stomach content
Zooplankton,Mytilus chilensis,Plankton,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes,Stomach content
Phytodetritus,Nacella mytilina,Phytodetritus,Andrade (pers. comm.),,
Gammaridae,Harpagifer bispinis,Amphipoda,Hüne & Vega (2016),,
Isopoda,Harpagifer bispinis,Isopoda,Andrade (pers. comm.),,
Tanaidae,Harpagifer bispinis,Malacostraca,Hüne & Vega (2016),,
Polychaetes,Harpagifer bispinis,Polychaeta,Hüne & Rivera (2010),,
Aulacomya atra,Anasterias antarctica,Bivalvia,Andrade (pers. comm.),,
Copepod egg,Maurolicus australis (larvae),Copepoda,Landaeta et al. (2011),,
Bivalvia larva,Maurolicus australis (larvae),Bivalvia,Landaeta et al. (2011),,
Copepod nauplius,Maurolicus australis (larvae),Copepoda,Landaeta et al. (2011),,
Calanoid copepodite,Maurolicus australis (larvae),Copepoda,Landaeta et al. (2011),,
Salp,Lagenorhynchus australis,Tunicata,Schiavini et al. (1997),https://oceanrep.geomar.de/id/eprint/53025,
Exospheroma gigas,Patagonotothen cornucola,Isopoda,Hüne & Vega (2016),,
Exospheroma gigas,Harpagifer bispinis,Isopoda,Hüne & Vega (2016),,
Patagonotothen spp.,Patagonotothen tessellata,Pisces,Hüne et al. (2023),,
Eleginops maclovinus,Lagenorhynchus australis,Pisces,Schiavini et al. (1997),,
Munida gregaria,Macruronus magellanicus ,Pisces,Acevedo (2013),https://aquadocs.org/handle/1834/6952,
Illex argentinus,Lagenorhynchus australis,Cephalopoda,Schiavini et al. (1997),,
Doryteuthis gahi ,Aptenoydes patagonicus,Cephalopoda,Pütz et al. (2021),https://www.sciencedirect.com/science/article/pii/S2351989421002195,
Patagonotothen tessellata,Aptenoydes patagonicus,Pisces,Pütz et al. (2021),,
Tawera elliptica,Enteroctopus megalocyathus,Bivalvia,Sepúlveda (pers. comm),,
Peltarion spinulosum,Enteroctopus megalocyathus,Crustacea,Sepúlveda (pers. comm),,
Patagonotothen tessellata,Lagenorhynchus australis,Pisces,Viddi & Lescrauwaet (2005),https://www.vliz.be/imisdocs/publications/ocrd/102931.pdf,
Genypterus blacodes,Pseudorca crassidens,Pisces,Alonso & Pedraza (1999),,
Gaimardia trapesina,Paralomis granulosa,Gastropoda,Cañete et al. (2021),https://www.scielo.br/j/nau/a/DwGRczmMrxWjByhxjy8GHhD/,
Phytoplankton,Ostracoda,Ostracoda,,,
Zooplankton,Ostracoda,Ostracoda,,,
Zooplankton,Aulacomya atra,Bivalvia,,,
Phytoplankton,Aulacomya atra,Bivalvia,,,
Trophon geversianus,Cosmasterias lurida,Gastropoda,,,
Zooplankton,Perumytilus purpuratus,Bivalvia,,,
Phytoplankton,Perumytilus purpuratus,Bivalvia,,,
Merluccius hubbsi,Salilota australis,Pisces,,,
Munida gregaria,Salilota australis,Benthic decapoda,,,
Patagonotothen spp.,Salilota australis,Pisces,,,
Phytoplankton,Gaimardia trapesina,Plankton,,,
Ulva sp.,Arbacia dufresnii,Green algae,Castro et al. (2022),,
Ostracods,Arbacia dufresnii,Ostracoda,Castro et al. (2022),,
Forams,Arbacia dufresnii,Foraminifera,Castro et al. (2022),,
Ceramium sp.,Arbacia dufresnii,Red algae,Castro et al. (2022),,
Heterosiphonia sp.,Arbacia dufresnii,Red algae,Castro et al. (2022),,
Aulacomya atra,Cosmasterias lurida,Bivalvia,Garrido et al. (2021),,
Pseudechinus magellanicus,Cosmasterias lurida,Echinodermata,Garrido et al. (2021),,
Arbacia dufresnii,Cosmasterias lurida,Echinodermata,Garrido et al. (2021),,
Loxechinus albus,Cosmasterias lurida,Echinodermata,Garrido et al. (2021),,
Sarcopeltis skottsbergii,Lithodes santolla,Red algae,Andrade et al. (2022),,
Darina solenoides,Odontesthes spp.,Bivalvia,Gordillo et al. (2020),https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/abs/naticid-drilling-predation-from-tidal-flats-in-northern-patagonia-sw-atlantic/3EB5A0897064DF2E2381CE9844F5F348,
Darina solenoides,Larus dominicanus,Bivalvia,Gordillo et al. (2020),https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/abs/naticid-drilling-predation-from-tidal-flats-in-northern-patagonia-sw-atlantic/3EB5A0897064DF2E2381CE9844F5F348,
Phytoplankton,Darina solenoides,Plankton,,,
Detritus,Darina solenoides,Detritus,,,
