resource,consumer
Eleginops maclovinus,Lagenorhynchus australis
Illex argentinus,Lagenorhynchus australis
Patagonotothen tessellata,Lagenorhynchus australis
Gaimardia trapesina,Larus dominicanus
Mytilus chilensis,Larus dominicanus
Darina solenoides,Larus dominicanus
Macrocystis pyrifera,Lithodes santolla
Hydrozoans,Lithodes santolla
Bryozoans,Lithodes santolla
Sponges,Lithodes santolla
Forams,Lithodes santolla
Polychaetes,Lithodes santolla
Echinoderms,Lithodes santolla
Crustaceans,Lithodes santolla
Bivalves,Lithodes santolla
Gastropods,Lithodes santolla
Cephalopods,Lithodes santolla
Fish,Lithodes santolla
Sediment,Lithodes santolla
Detritus,Lithodes santolla
Debris allocthonous,Lithodes santolla
Sarcopeltis skottsbergii,Lithodes santolla
Amphipoda,Lithodes santolla (juvenile)
Bivalves,Lithodes santolla (juvenile)
Macrocystis pyrifera,Lithodes santolla (juvenile)
Sediment,Lithodes santolla (juvenile)
Hydrozoans,Lithodes santolla (juvenile)
Echinoderms,Lithodes santolla (juvenile)
Sponges,Lithodes santolla (juvenile)
Forams,Lithodes santolla (juvenile)
Polychaetes,Lithodes santolla (juvenile)
Nacella spp.,Lithodes santolla (juvenile)
Polyplacophora,Lithodes santolla (juvenile)
Ulva sp.,Lithodes santolla (juvenile)
Lithodes santolla,Lithodes santolla (juvenile)
Prolatilus jugularis,Lontra felina
Patagonotothen sp.,Lontra felina
Cottoperca gobio,Lontra felina
Harpagifer bispinis,Lontra felina
Acanthocyclus albatrossis,Lontra felina
Lithodes santolla,Lontra felina
Munida gregaria,Lontra felina
Campylonotus vagans,Lontra felina
Taliepus dentatus,Lontra felina
Cancer edwardsii,Lontra felina
Macrocystis pyrifera,Loxechinus albus
Rhodymenia falklandica,Loxechinus albus
Lessonia flavicans,Loxechinus albus
Sarcopeltis skottsbergii,Loxechinus albus
Callophyllis variegata,Loxechinus albus
Harpagifer bispinis,Loxechinus albus
Sprattus fuegensis,Macruronus magellanicus
Munida gregaria,Macruronus magellanicus 
Macrocystis pyrifera,Margarella violacea
Copepod egg,Maurolicus australis (larvae)
Bivalvia larva,Maurolicus australis (larvae)
Copepod nauplius,Maurolicus australis (larvae)
Calanoid copepodite,Maurolicus australis (larvae)
Munida gregaria,Megaptera novaeangliae
Sprattus fuegensis,Megaptera novaeangliae
Euphausia lucens,Megaptera novaeangliae
Euphausia vallentini,Megaptera novaeangliae
Themisto gaudichaudii ,Megaptera novaeangliae
Sprattus fuegensis,Merluccius australis
Ulva sp.,Munida gregaria
Serolis sp.,Munida gregaria
Sponges,Munida gregaria
Phytodetritus,Munida gregaria
Detritus,Munida gregaria
Phytoplankton,Mytilus chilensis
Zooplankton,Mytilus chilensis
Bivalves,Nacella deaurata
Forams,Nacella deaurata
Elphidium macellum,Nacella deaurata
Brown algae,Nacella deaurata
Green algae,Nacella deaurata
Miscellaneus,Nacella deaurata
Red algae,Nacella deaurata
Chroococcus sp.,Nacella deaurata
Oscillatoria sp.,Nacella deaurata
Melosira sp.,Nacella deaurata
Coscinodiscus sp.,Nacella deaurata
Stephanopyxis sp.,Nacella deaurata
Biddulphia sp.,Nacella deaurata
Pinnularia sp.,Nacella deaurata
Navicula sp.,Nacella deaurata
Gyrosigma sp.,Nacella deaurata
Diploneis sp.,Nacella deaurata
Plagiotropis sp.,Nacella deaurata
Cocconeis sp.,Nacella deaurata
Surirella sp.,Nacella deaurata
Gomphonema sp.,Nacella deaurata
Cymbella sp.,Nacella deaurata
Licmophora sp,Nacella deaurata
Amphora sp.,Nacella deaurata
Cylindrotheca sp.,Nacella deaurata
Nitzschia sp.,Nacella deaurata
Achnanthes sp.,Nacella deaurata
Rhabdonema sp.,Nacella deaurata
Grammatophora sp.,Nacella deaurata
Fragilaria sp.,Nacella deaurata
Dinophysis sp.,Nacella deaurata
Protoperidinium sp.,Nacella deaurata
Prorocentrum sp.,Nacella deaurata
Spongomorpha pacifica,Nacella deaurata
Ulothrix sp.,Nacella deaurata
Ulva clathrata,Nacella deaurata
Ulva lactuca,Nacella deaurata
Ulva prolifera,Nacella deaurata
Ulva sp.,Nacella deaurata
Rhizoclonium sp.,Nacella deaurata
Ectocarpus siliculosus,Nacella deaurata
Caepidium antarcticum,Nacella deaurata
Adenocystis utricularis,Nacella deaurata
Scytosiphon lomentaria,Nacella deaurata
Halopteris funnicularis,Nacella deaurata
Acrochaetium sp.,Nacella deaurata
Nothogenia fastigiata,Nacella deaurata
Iridaea chordata,Nacella deaurata
Sarcothalia crispata,Nacella deaurata
Grateloupia sp.,Nacella deaurata
Ceramium sp.,Nacella deaurata
Polysiphonia sp.,Nacella deaurata
Pterosiphonia sp.,Nacella deaurata
Ballia callitricha,Nacella deaurata
Bostrychia sp.,Nacella deaurata
Plocamium sp.,Nacella deaurata
Forams,Nacella deaurata
Margarella violacea,Nacella deaurata
Laevilitorina caliginosa,Nacella deaurata
Eatoniella sp.,Nacella deaurata
Mytilus platensis,Nacella deaurata
Lasaea sp.,Nacella deaurata
Ostracods,Nacella deaurata
Amphipoda indet,Nacella deaurata
Elminius kingii,Nacella deaurata
Arachnida indet,Nacella deaurata
Halirytus magellanicus,Nacella deaurata
Bivalvia,Nacella magellanica
Forams,Nacella magellanica
Red algae,Nacella magellanica
Green algae,Nacella magellanica
Miscellaneus,Nacella magellanica
Chroococcus sp.,Nacella magellanica
Oscillatoria sp.,Nacella magellanica
Melosira sp.,Nacella magellanica
Coscinodiscus sp.,Nacella magellanica
Biddulphia sp.,Nacella magellanica
Pinnularia sp.,Nacella magellanica
Navicula sp.,Nacella magellanica
Gyrosigma sp.,Nacella magellanica
Diploneis sp.,Nacella magellanica
Plagiotropis sp.,Nacella magellanica
Cocconeis sp.,Nacella magellanica
Surirella sp.,Nacella magellanica
Gomphonema sp.,Nacella magellanica
Cymbella sp.,Nacella magellanica
Licmophora sp,Nacella magellanica
Amphora sp.,Nacella magellanica
Cylindrotheca sp.,Nacella magellanica
Nitzschia sp.,Nacella magellanica
Achnanthes sp.,Nacella magellanica
Rhabdonema sp.,Nacella magellanica
Grammatophora sp.,Nacella magellanica
Fragilaria sp.,Nacella magellanica
Dinophysis sp.,Nacella magellanica
Prorocentrum sp.,Nacella magellanica
Spongomorpha pacifica,Nacella magellanica
Ulothrix sp.,Nacella magellanica
Ulva lactuca,Nacella magellanica
Ulva prolifera,Nacella magellanica
Ulva sp.,Nacella magellanica
Rhizoclonium sp.,Nacella magellanica
Ectocarpus siliculosus,Nacella magellanica
Caepidium antarcticum,Nacella magellanica
Adenocystis utricularis,Nacella magellanica
Scytosiphon lomentaria,Nacella magellanica
Halopteris funnicularis,Nacella magellanica
Macrocystis pyrifera,Nacella magellanica
Acrochaetium sp.,Nacella magellanica
Nothogenia fastigiata,Nacella magellanica
Iridaea chordata,Nacella magellanica
Sarcothalia crispata,Nacella magellanica
Mazzaella laminaroides,Nacella magellanica
Grateloupia sp,Nacella magellanica
Heterosiphonia sp.,Nacella magellanica
Polysiphonia sp.,Nacella magellanica
Pterosiphonia sp.,Nacella magellanica
Ballia callitricha,Nacella magellanica
Bostrychia sp.,Nacella magellanica
Forams,Nacella magellanica
Margarella violacea,Nacella magellanica
Laevilitorina caliginosa,Nacella magellanica
Onchidella marginata,Nacella magellanica
Mytilus platensis,Nacella magellanica
Lasaea sp.,Nacella magellanica
Ostracods,Nacella magellanica
Notochthamalus scabrosus,Nacella magellanica
Elminius kingii,Nacella magellanica
Arachnida indet,Nacella magellanica
Halirytus magellanicus,Nacella magellanica
Microalgae,Nacella mytilina
Macrocystis pyrifera,Nacella mytilina
Phytodetritus,Nacella mytilina
Darina solenoides,Odontesthes spp.
Munida gregaria,Oncorhynchus tschawytscha
Phytodetritus,Ophiactis asperula
Phytodetritus,Ophiuroglypha lymani
Crustaceans,Ophiuroglypha lymani
Fecal pellets,Ophiuroglypha lymani
Detritus,Ophiuroglypha lymani
Sediment,Ophiuroglypha lymani
Macroalgae,Ophiuroglypha lymani
Bivalves,Ophiuroglypha lymani
Bryozoans,Ophiuroglypha lymani
Otaria byronia,Orcinus orca
Arctocephalus australis,Orcinus orca
Tachyeres pteneres,Orcinus orca
Fishes,Orcinus orca
Phytoplankton,Ostracods
Zooplankton,Ostracods
Detritus,Ostracods
Picoplankton,Ostracods
Munida gregaria,Otaria byronia
Oncorhynchus mykiss,Otaria byronia
Oncorhynchus kisutch,Otaria byronia
Salmo salar,Otaria byronia
Eleginops maclovinus,Otaria byronia
Mustelus mento,Otaria byronia
Thyrsites atun,Otaria byronia
Paralabrax humeralis,Otaria byronia
Odontesthes regia,Otaria byronia
Sprattus fuegensis,Otaria byronia
Trachurus murphyi,Otaria byronia
Merluccius australis,Otaria byronia
Cilus gilberti,Otaria byronia
Genypterus spp.,Otaria byronia
Callorhinchus callorhynchus,Otaria byronia
Pinguipes chilensis,Otaria byronia
Detritus,Pagurus sp.
Detritus,Paraeuthria fuscata
Macrocystis pyrifera,Paralomis granulosa
Rhodophyta indet,Paralomis granulosa
Hydrozoans,Paralomis granulosa
Bryozoans,Paralomis granulosa
Sponges,Paralomis granulosa
Forams,Paralomis granulosa
Polychaetes,Paralomis granulosa
Pseudechinus magellanicus,Paralomis granulosa
Enteroctopus megalocyathus,Paralomis granulosa
Mytilus chilensis,Paralomis granulosa
Amphipoda,Paralomis granulosa
Debris allocthonous,Paralomis granulosa
Gaimardia trapesina,Paralomis granulosa
Munida gregaria,Patagonotothen cornucola
Unidentified fish,Patagonotothen cornucola
Exospheroma gigas,Patagonotothen cornucola
Platynereis australis,Patagonotothen tessellata
Gammaridae,Patagonotothen tessellata
Ostracods,Patagonotothen tessellata
Rhizoclonium sp,Patagonotothen tessellata
Polysiphonia sp.,Patagonotothen tessellata
Chironomidae,Patagonotothen tessellata
Austroregia sp.,Patagonotothen tessellata
Munida gregaria,Patagonotothen tessellata
Patagonotothen spp.,Patagonotothen tessellata
Bivalvia larva,Patagonotothen tessellata (larvae)
Pluteus larva,Patagonotothen tessellata (larvae)
Copepod egg,Patagonotothen tessellata (larvae)
Copepod nauplius,Patagonotothen tessellata (larvae)
Calanoid copepodite,Patagonotothen tessellata (larvae)
Aetideus arcuatus,Patagonotothen tessellata (larvae)
Calanoides patagoniensis,Patagonotothen tessellata (larvae)
Calanus simillimus,Patagonotothen tessellata (larvae)
Paracalanus indicus,Patagonotothen tessellata (larvae)
Chitinous remains,Patagonotothen tessellata (larvae)
Zooplankton,Perumytilus purpuratus
Phytoplankton,Perumytilus purpuratus
Phytodetritus,Plaxiphora aurata
Diatoms,Plaxiphora aurata
Diatoms,Plaxiphora aurata
Phytodetritus,Plaxiphora aurata
Squid,Pseudorca crassidens
Martialia hyadesii,Pseudorca crassidens
Illex argentinus,Pseudorca crassidens
Macruronus magellanicus,Pseudorca crassidens
Genypterus blacodes,Pseudorca crassidens
Munida gregaria,Salilota australis
Austrolycus depressiceps,Salilota australis
Patagonotothen cornucola,Salilota australis
Merluccius hubbsi,Salilota australis
Munida gregaria,Salilota australis
Patagonotothen spp.,Salilota australis
Nanoflagellates,Salp
Copepods,Salp
Picoplankton,Salp
Macroalgae,Siphonaria lessonii
Phytodetritus,Siphonaria lessonii
Macrocystis pyrifera,Siphonaria lessonii
Sprattus fuegensis,Spheniscus magellanicus
Patagonotothen wiltoni,Spheniscus magellanicus
Doryteuthis gahi,Spheniscus magellanicus
Ramnogaster arcuata,Spheniscus magellanicus
Munida gregaria,Spheniscus magellanicus
Cephalopoda indet,Spheniscus magellanicus
Amphipoda,Sprattus fuegensis
Hyperiidea,Sprattus fuegensis
Mysida,Sprattus fuegensis
Calanoida,Sprattus fuegensis
Harpacticoida,Sprattus fuegensis
Megacalanus sp.,Sprattus fuegensis
Copepods,Sprattus fuegensis
Isopoda,Sprattus fuegensis
Pseudonitzschia sp.,Sprattus fuegensis
Rhizosolenia sp.,Sprattus fuegensis
Chaetoceros sp.,Sprattus fuegensis
Centric diatoms,Sprattus fuegensis
Pennate diatoms,Sprattus fuegensis
Asterionellopsis sp.,Sprattus fuegensis
Thalassiosira sp.,Sprattus fuegensis
Ramnogaster arcuata,Stercorarius chilensis
Sprattus fuegensis,Stercorarius chilensis
Macrocystis pyrifera,Tegula atra
Mazzaella laminarioides,Tegula atra
Ulva sp.,Tegula atra
Mytilus chilensis,Trophon geversianus
Aulacomya atra,Trophon geversianus
Hiatella arctica,Trophon geversianus
Perumytilus purpuratus,Trophon geversianus
