resource,consumer,Prey group,Reference,URL/DOI,Observation
Lithodes santolla (juvenile),Macrocystis pyrifera,Brown algae,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/558,Stomach content
Lithodes santolla (juvenile),Sediment,Sediment,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/559,Stomach content
Lithodes santolla (juvenile),Hydrozoans,Hydrozoa,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/560,Stomach content
Lithodes santolla (juvenile),Echinoderms,Echinodermata,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Lithodes santolla (juvenile),Sponges,Porifera,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Lithodes santolla (juvenile),Forams,Foraminifera,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Lithodes santolla (juvenile),Polychaetes,Polychaeta,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Lithodes santolla (juvenile),Nacella spp.,Gatropoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Lithodes santolla (juvenile),Polyplacophora,Polyplacophora,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Lithodes santolla (juvenile),Ulva sp.,Green algae,Pardo et al.(2021),,Stomach content
Lithodes santolla (juvenile),Lithodes santolla,Benthic decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556,
Lontra felina,Prolatilus jugularis,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Stomach content
Lontra felina,Patagonotothen sp.,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Cottoperca gobio,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Harpagifer bispinis,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Acanthocyclus albatrossis,Benthic decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Lithodes santolla,Benthic decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Munida gregaria,Benthic decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Campylonotus vagans,Benthic decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Taliepus dentatus,Benthic decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
