"","TrophicSpecies","Group","TotalDegree","NumPrey","NumPred","Between","Closeness","TL","Omn","deg_rank","btw_rank","clo_rank","Keystone_ind","Keystone_rank","TopRole","within_module_degree","among_module_conn"
"59","Pagurus sp.","Decapoda",5,1,4,2.44444444444444,0.00242130750605327,2,0,19,53,61,44.3333333333333,55,"modspe",-0.174578805909587,0.48
"60","Merluccius sp.","Teleostei",9,6,3,45.4166666666667,0.00271739130434783,4.432,0.37,15,5,30,16.6666666666667,15,"modspe",0.168335403486775,0.493827160493827
"61","Euphausia lucens","Euphausiacea",3,1,2,1.41666666666667,0.00246305418719212,2,0,21,62,56,46.3333333333333,58,"modspe",-0.897788818596132,0.444444444444444
"62","Myxine australis","Teleostei",2,1,1,0.5,0.00235849056603774,2,0,22,69,67,52.6666666666667,71,"modspe",-1.03470596623475,0.5
"63","Bassanago sp.","Teleostei",1,0,1,0,0.0021505376344086,1,0,23,72,80,58.3333333333333,83,"modspe",-0.982439947565315,0
"64","Hydrozoa","Hydrozoa",6,3,3,2.08831168831169,0.00277008310249307,2.333,0.222,18,56,27,33.6666666666667,36,"modspe",-0.460304031376756,0.611111111111111
"65","Porifera","Porifera",6,2,4,2.25497835497836,0.00277777777777778,2,0,18,54,26,32.6666666666667,34,"modspe",-0.460304031376756,0.611111111111111
"66","Nacella deaurata","Gastropoda",18,16,2,40.9833333333333,0.00316455696202532,2.642,0.345,6,7,6,6.33333333333333,5,"modspe",2.15037554956604,0.462962962962963
"67","Polyplacophora","Polyplacophora",5,4,1,1.73333333333333,0.00273224043715847,2.625,0.422,19,59,29,35.6666666666667,40,"modspe",-0.0974910747054314,0.56
"68","Cottoperca gobio","Teleostei",7,6,1,17.5111111111111,0.00251889168765743,4.4,0.433,17,21,50,29.3333333333333,28,"modspe",-0.0981956520339519,0.448979591836735
"69","Prolatilus jugularis","Teleostei",4,3,1,3.78888888888889,0.00251256281407035,3.153,0.047,20,47,51,39.3333333333333,46,"modspe",-0.616420575629213,0.5
"70","Euphausia vallentini","Euphausiacea",4,2,2,3.66666666666667,0.0025062656641604,2,0,20,48,52,40,47,"modspe",-0.562957721459025,0.625
"71","Chironomidae","Insecta",5,2,3,3,0.00271739130434783,2,0,19,49,30,32.6666666666667,34,"modcon",-0.721371989471035,0.72
"72","Cirripedia","Scalpellomorpha",3,1,2,0.333333333333333,0.00248138957816377,2,0,21,71,54,48.6666666666667,64,"modspe",-0.721371989471035,0.444444444444444
"73","Margarella violacea","Gastropoda",3,1,2,0,0.00245098039215686,2,0,21,72,57,50,67,"modspe",-0.460304031376756,0
"74","Notochthamalus scabrosus","Cirripedia",2,1,1,0,0.00240384615384615,2,0,22,72,63,52.3333333333333,70,"modspe",-0.71493454783983,0.5
"75","Dissostichus eleginoides","Teleostei",7,6,1,19.9094516594517,0.00259067357512953,4.816,0.525,17,19,41,25.6666666666667,23,"modspe",0.168335403486775,0.244897959183674
"76","Otaria byronia","Mammalia",16,15,1,37.0450937950938,0.00280898876404494,4.408,0.69,8,11,22,13.6666666666667,11,"modspe",2.30058384765259,0.2265625
"77","Tachyeres pteneres","Aves",2,1,1,1.04545454545455,0.00223713646532438,4.5,0,22,63,75,53.3333333333333,72,"modspe",-0.897788818596132,0
"78","Callorhinchus callorynchus","Chondrostei",2,1,1,0.95021645021645,0.0023696682464455,3,0,22,65,66,51,69,"modspe",-1.16431987411686,0.5
"79","Cilus gilberti","Teleostei",4,3,1,2.75873015873016,0.0025974025974026,2.819,0.371,20,50,40,36.6666666666667,42,"modspe",-0.897788818596132,0.625
"80","Mustelus mento","Chondrostei",3,2,1,1,0.00226757369614512,3.5,0.25,21,64,72,52.3333333333333,70,"modspe",-0.897788818596132,0.444444444444444
"81","Oncorhynchus sp.","Teleostei",2,1,1,0,0.00233100233100233,4.5,0,22,72,70,54.6666666666667,75,"modspe",-0.897788818596132,0
"82","Paralabrax humeralis","Teleostei",1,0,1,0,0.00202839756592292,1,0,23,72,88,61,87,"modspe",-1.16431987411686,0
"83","Pinguipes chilensis","Teleostei",7,6,1,5.37561327561328,0.00274725274725275,3.688,0.553,17,38,28,27.6666666666667,24,"modspe",-0.364726707554679,0.571428571428571
"84","Salmo salar","Teleostei",4,3,1,2.67539682539683,0.00242718446601942,4.144,0.996,20,51,60,43.6666666666667,54,"modspe",-0.364726707554679,0
"85","Thyrsites atun","Teleostei",4,3,1,0.5,0.00238095238095238,4.333,0.352,20,69,64,51,69,"modspe",-0.364726707554679,0
"86","Trachurus murphyi","Teleostei",5,4,1,5.93398268398268,0.00255754475703325,3.625,0.172,19,35,44,32.6666666666667,34,"modspe",0.259912922969947,0.32
"87","Paracalanus indicus","Copepoda",2,1,1,0.5,0.0020703933747412,2,0,22,69,87,59.3333333333333,85,"modspe",-0.489939674925759,0
"88","Pluteus (larva)","Echinoidea",2,1,1,0.5,0.00226757369614512,3,0,22,69,72,54.3333333333333,74,"modspe",-1.02187417913087,0.5
"89","Aulacomya atra","Bivalvia",3,2,1,1.61688311688312,0.00248756218905473,2.5,0.25,21,61,53,45,57,"modspe",-0.445565010805623,0.444444444444444
"90","Martialia hyadesii","Cephalopoda",2,1,1,1.66666666666667,0.00195694716242661,3,0,22,60,91,57.6666666666667,81,"modspe",-1.02187417913087,0.5
"91","Austrolycus depressiceps","Teleostei",4,3,1,5.31666666666667,0.00247524752475248,3.736,0.549,20,40,55,38.3333333333333,44,"modspe",-0.198135185023676,0.375
"92","Ramnogaster arcuata","Teleostei",2,0,2,0,0.00190839694656489,1,0,22,72,95,63,92,"modspe",-0.897788818596132,0
"93","Crustacea","Crustacea",3,2,1,0.783549783549784,0.0024390243902439,2.5,0.25,21,67,59,49,65,"modspe",-0.0928260439178382,0
"94","Acanthina monodon","Gastropoda",2,2,0,0,0.00212765957446809,3.5,0,22,72,84,59.3333333333333,85,"modspe",-0.798303977693408,0.5
"95","Anasterias antarctica","Asteroidea",3,3,0,0,0.00224719101123596,3.167,0.056,21,72,73,55.3333333333333,76,"modspe",-0.460304031376756,0
"96","Antholoba achates","Hexacorallia",1,1,0,0,0.00194552529182879,4.158,0,23,72,92,62.3333333333333,91,"modspe",-0.872894029547933,0
"97","Appendicularians","Appendicularia",1,1,0,0,0.0021978021978022,3,0,23,72,78,57.6666666666667,81,"modspe",-0.694090292417449,0
"98","Aptenodytes patagonicus","Aves",4,4,0,0,0.00235294117647059,4.381,0.239,20,72,68,53.3333333333333,72,"modspe",-0.631257763075405,0.375
"99","Arctocephalus australis","Mammalia",2,2,0,0,0.00194174757281553,4.583,0.062,22,72,93,62.3333333333333,91,"modspe",-0.798303977693408,0.5
"100","Austrochlamys natans","Bivalvia",1,1,0,0,0.00223713646532438,2,0,23,72,75,56.6666666666667,79,"modspe",-0.798303977693408,0
"101","Bathylagichthys parini (larvae)","Teleostei",8,8,0,0,0.00258397932816537,2.722,0.336,16,72,42,43.3333333333333,53,"modspe",1.63779834189468,0.40625
"102","Bunodactis octoradiata","Hexacorallia",1,1,0,0,0.00196463654223969,3,0,23,72,90,61.6666666666667,89,"modspe",-1.03470596623475,0
"103","Calidris canutus","Aves",1,1,0,0,0.00211416490486258,3,0,23,72,85,60,86,"modspe",-0.982439947565315,0
"104","Campylonotus vagans","Decapoda",1,1,0,0,0.0021978021978022,3,0,23,72,78,57.6666666666667,81,"modspe",-0.71493454783983,0
"105","Cephalorhynchus commersonii commersonii","Mammalia",11,11,0,0,0.00280112044817927,4.335,0.351,13,72,23,36,41,"modspe",0.967928570048955,0.297520661157025
"106","Champsocephalus esox","Teleostei",3,3,0,0,0.00220264317180617,4.505,0.054,21,72,77,56.6666666666667,79,"modspe",-0.616420575629213,0.444444444444444
"107","Chloephaga hybrida","Aves",1,1,0,0,0.00214132762312634,2,0,23,72,82,59,84,"modspe",-0.982439947565315,0
"108","Cosmasterias lurida","Asteroidea",6,6,0,0,0.00244498777506112,3.45,0.12,18,72,58,49.3333333333333,66,"modspe",0.322899842906082,0
"109","Crepipatella dilatata","Gastropoda",1,1,0,0,0.00214132762312634,2,0,23,72,82,59,84,"modspe",-0.982439947565315,0
"110","Darina solenoides","Bivalvia",1,1,0,0,0.00223713646532438,2,0,23,72,75,56.6666666666667,79,"modspe",-0.71493454783983,0
"111","Eurypodius latreillei","Decapoda",5,5,0,0,0.00247524752475248,3.189,0.054,19,72,55,48.6666666666667,64,"modspe",-0.174578805909587,0.56
"112","Fissurella oriens","Gastropoda",1,1,0,0,0.00214132762312634,2,0,23,72,82,59,84,"modspe",-0.982439947565315,0
"113","Fissurella radiosa","Gastropoda",1,1,0,0,0.00214132762312634,2,0,23,72,82,59,84,"modspe",-0.982439947565315,0
"114","Gaimardia trapesina","Bivalvia",1,1,0,0,0.00223713646532438,2,0,23,72,75,56.6666666666667,79,"modspe",-0.71493454783983,0
"115","Gammaridae","Bivalvia",3,3,0,0,0.00253807106598985,2.333,0.222,21,72,47,46.6666666666667,59,"modspe",-0.406212811272631,0.444444444444444
"116","Labidiaster radiosus","Asteroidea",1,1,0,0,0.00196463654223969,3,0,23,72,90,61.6666666666667,89,"modspe",-0.872894029547933,0
"117","Lagenorhynchus australis","Mammalia",10,10,0,0,0.002710027100271,4.448,0.61,14,72,31,39,45,"modspe",0.434866459007502,0.46
"118","Larus dominicanus","Aves",3,3,0,0,0.00224719101123596,3.167,0.056,21,72,73,55.3333333333333,76,"modspe",-0.460304031376756,0
"119","Lithodes santolla (juvenile)","Decapoda",13,13,0,0,0.00305810397553517,3.148,0.549,11,72,11,31.3333333333333,32,"modspe",1.10610371718892,0.485207100591716
"120","Lutra felina","Mammalia",5,5,0,0,0.00245098039215686,4.49,0.223,19,72,57,49.3333333333333,66,"modspe",-0.631257763075405,0.48
"121","Maurolicus australis (larvae)","Teleostei",4,4,0,0,0.00192678227360308,2.75,0.187,20,72,94,62,90,"modspe",0.125514906369225,0
"122","Megaptera novaeangliae","Mammalia",5,5,0,0,0.0026246719160105,3.467,0.371,19,72,38,43,52,"modspe",-0.364726707554679,0.32
"123","Nacella magellanica","Gastropoda",17,17,0,0,0.00313479623824451,2.605,0.347,7,72,8,29,27,"modspe",1.62823963337748,0.539792387543253
"124","Nacella mytilina","Gastropoda",3,3,0,0,0.00258397932816537,2,0,21,72,42,45,57,"modcon",-0.805800076279801,0.666666666666667
"125","Ophiactis asperula","Ophiuroidea",1,1,0,0,0.00194552529182879,2,0,23,72,92,62.3333333333333,91,"modspe",-0.805800076279801,0
"126","Ophiuroglypha lymani","Ophiuroidea",7,7,0,0,0.00294985250737463,2.714,0.847,17,72,17,35.3333333333333,39,"modcon",-0.460304031376756,0.73469387755102
"127","Orcinus orca","Mammalia",3,3,0,0,0.00214592274678112,5.574,0.031,21,72,81,58,82,"modspe",-0.631257763075405,0
"128","Paraeuthria fuscata","Gastropoda",1,1,0,0,0.00224215246636771,2,0,23,72,74,56.3333333333333,78,"modspe",-1.03470596623475,0
"129","Paralomis granulosa","Decapoda",13,13,0,0,0.003003003003003,3.147,0.589,11,72,14,32.3333333333333,33,"modspe",0.845035759094641,0.568047337278107
"130","Patagonotothen tessellata (larvae)","Teleostei",7,7,0,0,0.00240963855421687,3.048,0.299,17,72,62,50.3333333333333,68,"modspe",0.884383384789575,0.244897959183674
"131","Platynereis australis","Polychaeta",2,2,0,0,0.00240384615384615,2,0,22,72,63,52.3333333333333,70,"modspe",-0.872894029547933,0.5
"132","Plaxiphora aurata","Polyplacophora",2,2,0,0,0.0020746887966805,2,0,22,72,86,60,86,"modspe",-0.304200528386326,0
"133","Pseudorca crassidens","Mammalia",4,4,0,0,0.00218818380743982,4.74,0.231,20,72,79,57,80,"modspe",-0.631257763075405,0.375
"134","Siphonaria lessonii","Gastropoda",2,2,0,0,0.00221238938053097,2,0,22,72,76,56.6666666666667,79,"modspe",-1.06981226929889,0.5
"135","Spheniscus magellanicus","Aves",6,6,0,0,0.0025706940874036,4.082,1.036,18,72,43,44.3333333333333,55,"modspe",-0.0981956520339519,0.277777777777778
"136","Stercorarius chilensis","Aves",2,2,0,0,0.00213675213675214,2.917,0.84,22,72,83,59,84,"modspe",-0.897788818596132,0
"137","Tegula atra","Gastropoda",3,3,0,0,0.00223713646532438,2,0,21,72,75,56,77,"modspe",-0.460304031376756,0
"138","Themisto gaudichaudii","Amphipoda",1,1,0,0,0.00230414746543779,3.333,0,23,72,71,55.3333333333333,76,"modspe",-0.71493454783983,0
"139","Trophon geversianus","Gastropoda",3,3,0,0,0.00224719101123596,3.333,0.056,21,72,73,55.3333333333333,76,"modspe",-0.721371989471035,0.444444444444444
