"","ID","TrophicSpecies","TotalDegree","NumPrey","NumPred","Between","Closeness","TL","Omn","deg_rank","btw_rank","clo_rank","Keystone_ind","Keystone_rank"
"113",113,"Fissurella radiosa",1,1,0,0,0.00214132762312634,2,0,23,72,82,59,84
"114",114,"Gaimardia trapesina",1,1,0,0,0.00223713646532438,2,0,23,72,75,56.6666666666667,79
"115",115,"Gammaridae",3,3,0,0,0.00253807106598985,2.333,0.222,21,72,47,46.6666666666667,59
"116",116,"Labidiaster radiosus",1,1,0,0,0.00196463654223969,3,0,23,72,90,61.6666666666667,89
"117",117,"Lagenorhynchus australis",10,10,0,0,0.002710027100271,4.448,0.61,14,72,31,39,45
"118",118,"Larus dominicanus",3,3,0,0,0.00224719101123596,3.167,0.056,21,72,73,55.3333333333333,76
"119",119,"Lithodes santolla (juvenile)",13,13,0,0,0.00305810397553517,3.148,0.549,11,72,11,31.3333333333333,32
"120",120,"Lutra felina",5,5,0,0,0.00245098039215686,4.49,0.223,19,72,57,49.3333333333333,66
"121",121,"Maurolicus australis (larvae)",4,4,0,0,0.00192678227360308,2.75,0.187,20,72,94,62,90
"122",122,"Megaptera novaeangliae",5,5,0,0,0.0026246719160105,3.467,0.371,19,72,38,43,52
"123",123,"Nacella magellanica",17,17,0,0,0.00313479623824451,2.605,0.347,7,72,8,29,27
"124",124,"Nacella mytilina",3,3,0,0,0.00258397932816537,2,0,21,72,42,45,57
"125",125,"Ophiactis asperula",1,1,0,0,0.00194552529182879,2,0,23,72,92,62.3333333333333,91
"126",126,"Ophiuroglypha lymani",7,7,0,0,0.00294985250737463,2.714,0.847,17,72,17,35.3333333333333,39
"127",127,"Orcinus orca",3,3,0,0,0.00214592274678112,5.574,0.031,21,72,81,58,82
"128",128,"Paraeuthria fuscata",1,1,0,0,0.00224215246636771,2,0,23,72,74,56.3333333333333,78
"129",129,"Paralomis granulosa",13,13,0,0,0.003003003003003,3.147,0.589,11,72,14,32.3333333333333,33
"130",130,"Patagonotothen tessellata (larvae)",7,7,0,0,0.00240963855421687,3.048,0.299,17,72,62,50.3333333333333,68
"131",131,"Platynereis australis",2,2,0,0,0.00240384615384615,2,0,22,72,63,52.3333333333333,70
"132",132,"Plaxiphora aurata",2,2,0,0,0.0020746887966805,2,0,22,72,86,60,86
"133",133,"Pseudorca crassidens",4,4,0,0,0.00218818380743982,4.74,0.231,20,72,79,57,80
"134",134,"Siphonaria lessonii",2,2,0,0,0.00221238938053097,2,0,22,72,76,56.6666666666667,79
"135",135,"Spheniscus magellanicus",6,6,0,0,0.0025706940874036,4.082,1.036,18,72,43,44.3333333333333,55
"136",136,"Stercorarius chilensis",2,2,0,0,0.00213675213675214,2.917,0.84,22,72,83,59,84
"137",137,"Tegula atra",3,3,0,0,0.00223713646532438,2,0,21,72,75,56,77
"138",138,"Themisto gaudichaudii",1,1,0,0,0.00230414746543779,3.333,0,23,72,71,55.3333333333333,76
"139",139,"Trophon geversianus",3,3,0,0,0.00224719101123596,3.333,0.056,21,72,73,55.3333333333333,76
