"","ID","TrophicSpecies","TotalDegree","NumPrey","NumPred","Between","Closeness","TL","Omn","deg_rank","btw_rank","clo_rank","Keystone_ind","Keystone_rank"
"80",80,"Mustelus mento",3,2,1,1,0.00224719101123596,3.5,0.25,21,63,75,53,67
"81",81,"Oncorhynchus sp.",2,1,1,0,0.0023094688221709,4.5,0,22,71,73,55.3333333333333,72
"82",82,"Paralabrax humeralis",1,0,1,0,0.00201207243460765,1,0,23,71,90,61.3333333333333,84
"83",83,"Pinguipes chilensis",7,6,1,5.37561327561328,0.00272479564032698,3.688,0.553,17,39,29,28.3333333333333,24
"84",84,"Salmo salar",4,3,1,2.67539682539683,0.00240384615384615,4.037,0.743,20,50,64,44.6666666666667,51
"85",85,"Thyrsites atun",4,3,1,0.5,0.00235849056603774,4.333,0.352,20,68,67,51.6666666666667,66
"86",86,"Trachurus murphyi",5,4,1,5.93398268398268,0.00253807106598985,3.625,0.172,19,35,47,33.6666666666667,34
"87",87,"Paracalanus indicus",2,1,1,0.5,0.00205338809034908,2,0,22,68,89,59.6666666666667,82
"88",88,"Pluteus (larva)",2,1,1,0.5,0.00224719101123596,3,0,22,68,75,55,71
"89",89,"Aulacomya atra",3,2,1,1.61688311688312,0.00246305418719212,2.5,0.25,21,60,57,46,54
"90",90,"Martialia hyadesii",2,1,1,1.66666666666667,0.00194174757281553,3,0,22,59,94,58.3333333333333,79
"91",91,"Austrolycus depressiceps",4,3,1,5.48333333333333,0.00245700245700246,3.736,0.549,20,38,58,38.6666666666667,41
"92",92,"Ramnogaster arcuata",2,0,2,0,0.00189393939393939,1,0,22,71,98,63.6666666666667,88
"93",93,"Crustacea",3,2,1,0.783549783549784,0.00241545893719807,2.5,0.25,21,66,62,49.6666666666667,62
"94",94,"Acanthina monodon",2,2,0,0,0.00210970464135021,3.5,0,22,71,86,59.6666666666667,82
"95",95,"Anasterias antarctica",3,3,0,0,0.0022271714922049,3.167,0.056,21,71,76,56,73
"96",96,"Antholoba achates",1,1,0,0,0.00193050193050193,4.158,0,23,71,95,63,87
"97",97,"Appendicularians",1,1,0,0,0.00217864923747277,3,0,23,71,80,58,78
"98",98,"Aptenoydes patagonicus",4,4,0,0,0.00233644859813084,4.381,0.239,20,71,71,54,70
"99",99,"Arctocephalus australis",2,2,0,0,0.00192678227360308,4.583,0.063,22,71,96,63,87
"100",100,"Austrochlamys natans",1,1,0,0,0.00221729490022173,2,0,23,71,77,57,76
"101",101,"Bathylagichthys parini (larvae)",8,8,0,0,0.00255754475703325,2.722,0.336,16,71,45,44,50
"102",102,"Bunodactis octoradiata",1,1,0,0,0.00194931773879142,3,0,23,71,92,62,85
